,OrganisationID,OrganisationCode,OrganisationType,SubType,Sector,OrganisationStatus,IsPimsManaged,OrganisationName,Address1,Address2,Address3,City,County,Postcode,Latitude,Longitude,ParentODSCode,ParentName,Phone,Email,Website,Fax,domain,nounname
38,18379,NT242,Hospital,Hospital,Independent Sector,Visible,True,"Nuffield Health, Wolverhampton Hospital",,Wood Road,Tettenhall,Wolverhampton,,WV6 8LE,52.593463899999996,-2.1715223790000002,NT2,Nuffield Health,0800 015 5020,nuffieldhealth.ereferrals@nhs.net,http://www.nuffieldhealth.com/hospitals/wolverhampton,,nuffieldhealth.com,Wolverhampton Hospital
39,18380,NT244,Hospital,Hospital,Independent Sector,Visible,True,"Nuffield Health, The Manor Hospital, Oxford",,Beech Road,Headington,Oxford,Oxfordshire,OX3 7RP,51.76044464,-1.215518713,NT2,Nuffield Health,0800 015 5020,nuffieldhealth.ereferrals@nhs.net,http://www.nuffieldhealth.com/themanorhospitaloxford,,nuffieldhealth.com,Manor Hospital Oxford
40,18381,NT245,Hospital,Hospital,Independent Sector,Visible,True,"Nuffield Health, York Hospital",,Haxby Road,,York,North Yorkshire,YO31 8TA,53.97470093,-1.075559855,NT2,Nuffield Health,0800 015 5020,nuffieldhealth.ereferrals@nhs.net,http://www.nuffieldhealth.com/yorkhospital,,yorkhospital.com,York Hospital
41,18385,NT301,Hospital,Hospital,Independent Sector,Visible,True,Spire South Bank Hospital,,139 Bath Road,,Worcester,Worcestershire,WR5 3YB,52.18108749,-2.2162322999999997,NT3,Spire Healthcare,01905 350 003,cservice-sb@spirehealthcare.com,https://www.spirehealthcare.com/spire-south-bank-hospital/,01905 362 031,spirehealthcare.com,Spire South Bank Hospital
42,18386,NT302,Hospital,Hospital,Independent Sector,Visible,True,Spire Bristol Hospital,,Redland Hill,,Bristol,,BS6 6UT,51.47204971,-2.61485076,NT3,Spire Healthcare,0117 980 4000,info@spirebristol.com,https://www.spirehealthcare.com/spire-bristol-hospital/,0117 974 3203,spirehealthcare.com,Spire Bristol Hospital
43,18388,NT304,Hospital,Hospital,Independent Sector,Visible,True,Spire Southampton Hospital,Chalybeate Hospital,Chalybeate Close,,Southampton,Hampshire,SO16 6UY,50.93061066,-1.4327143430000002,NT3,Spire Healthcare,023 8077 5544,spire.southampton@nhs.net,https://www.spirehealthcare.com/spire-southampton-hospital/,,spirehealthcare.com,Spire Southampton Hospital
44,18389,NT305,Hospital,Hospital,Independent Sector,Visible,True,Spire Portsmouth Hospital,Bartons Road,,,Havant,Hampshire,PO9 5NP,50.86859131,-0.955126107,NT3,Spire Healthcare,02392 456 172,info@spireportsmouth.com,https://www.spirehealthcare.com/spire-portsmouth-hospital/,,spirehealthcare.com,Spire Portsmouth Hospital
45,18390,NT308,Hospital,Hospital,Independent Sector,Visible,True,Spire Gatwick Park Hospital,Povey Cross Road,,,Horley,Surrey,RH6 0BB,51.16768265,-0.183382452,NT3,Spire Healthcare,01293 778917,spire.nhsteamgpk@nhs.net,https://www.spirehealthcare.com/spire-gatwick-park-hospital/,,spirehealthcare.com,Spire Gatwick Park Hospital
46,18391,NT309,Hospital,Hospital,Independent Sector,Visible,True,Spire Sussex Hospital,,The Ridge,,St. Leonards-on-Sea,,TN37 7RE,50.88537216,0.5677220820000001,NT3,Spire Healthcare,01424 757400,info@spiresussex.com,https://www.spirehealthcare.com/spire-sussex-hospital/,01424 757 424,spirehealthcare.com,Spire Sussex Hospital
47,18392,NT310,Hospital,Hospital,Independent Sector,Visible,True,Spire Tunbridge Wells Hospital,Fordcombe Road,Fordcombe,,Tunbridge Wells,Kent,TN3 0RD,51.13451385,0.18815976399999998,NT3,Spire Healthcare,01892 740 047,info@spiretunbridgewells.com,https://www.spirehealthcare.com/spire-tunbridge-wells-hospital/,01892 740046,spirehealthcare.com,Spire Tunbridge Wells Hospital
48,18393,NT312,Hospital,Hospital,Independent Sector,Visible,True,Spire Alexandra Hospital,Impton Lane,,,Chatham,Kent,ME5 9PG,51.32793427,0.5265411729999999,NT3,Spire Healthcare,01634 687166,cservice-al@spirehealthcare.com,https://www.spirehealthcare.com/spire-alexandra-hospital/,01634 686 162,spirehealthcare.com,Spire Alexandra Hospital
49,18394,NT313,Hospital,Hospital,Independent Sector,Visible,True,Spire Wellesley Hospital,Eastern Avenue,,,Southend-on-Sea,Essex,SS2 4XH,51.55439377,0.727603078,NT3,Spire Healthcare,01702 462944,spire.wellesley@nhs.net,https://www.spirehealthcare.com/spire-wellesley-hospital/,01702 447937,spirehealthcare.com,Spire Wellesley Hospital
